masturbate, masturbating
sleep, sleeping
work, working
walk, walking
run, running
play, playing
shit, shitting
insult, insulting
pee, peeing
flirt, flirting
shower, showering
jump, jumping
fuck, fucking
depress, depressing
shout, shouting
boo, booing
spank, spanking
tickle, tickling
tease, teasing
clench, clenching
squeeze, squeezing
drink, drinking
eat, eating
suck, sucking
punch, punching
kick, kicking
extend, extending
laugh, laughing
love, loving
design, designing
wink, winking
fish, fishing
drill, drilling
cough, coughing
sneeze, sneezing
kiss, kissing
wank, wanking
fire, firing
prototype, prototyping
experiment, experimenting
research, researching
write, writing
teach, teaching
